Year,Rank,Name,Sex,Counts
2013,1,Noah,Male,61
2013,2,Liam,Male,57
2013,3,Leo,Male,49
2013,4,Jack,Male,48
2013,5,Lucas,Male,46
2013,6,Theodore,Male,46
2013,7,Benjamin,Male,43
2013,8,James,Male,43
2013,9,Levi,Male,41
2013,10,Lincoln,Male,41
2013,11,Oliver,Male,41
2013,12,Walker,Male,39
2013,13,William,Male,37
2013,14,Asher,Male,33
2013,15,Beau,Male,33
2013,16,Maverick,Male,33
2013,17,Alexander,Male,32
2013,18,Hudson,Male,32
2013,19,Luke,Male,32
2013,20,Elijah,Male,30
2013,1,Olivia,Female,62
2013,2,Amelia,Female,48
2013,3,Emma,Female,45
2013,4,Ava,Female,44
2013,5,Lily,Female,41
2013,6,Sophia,Female,37
2013,7,Isla,Female,36
2013,8,Charlotte,Female,35
2013,9,Willow,Female,34
2013,10,Abigail,Female,33
2013,11,Nora,Female,31
2013,12,Aurora,Female,30
2013,13,Ivy,Female,29
2013,14,Scarlett,Female,29
2013,15,Chloe,Female,28
2013,16,Harper,Female,28
2013,17,Mia,Female,28
2013,18,Ellie,Female,27
2013,19,Hazel,Female,27
2013,20,Ella,Female,26
2014,1,Liam,Male,85
2014,2,William,Male,67
2014,3,Noah,Male,66
2014,4,Jacob,Male,62
2014,5,Mason,Male,60
2014,6,Hudson,Male,57
2014,7,Logan,Male,57
2014,8,Alexander,Male,56
2014,9,Carter,Male,56
2014,10,Jaxon,Male,56
2014,11,Jack,Male,55
2014,12,Lucas,Male,55
2014,13,Hunter,Male,52
2014,14,Oliver,Male,52
2014,15,Lincoln,Male,51
2014,16,Luke,Male,50
2014,17,Owen,Male,48
2014,18,Samuel,Male,48
2014,19,Ethan,Male,47
2014,20,Benjamin,Male,45